case,name,total_cycles,verifier_cycles,transcript_cycles,vanishing_cycles,logderivativesum_cycles,poseidon2_compressions,module_count,dynamic_module_count,round_count,expression_count,bucket_count,vanishing_count,total_witness_claims,total_quotient_claims
0,BooleanColumn,9399,9324,2889,6341,53,5,1,0,3,5,1,1,1,1
1,Fibonacci,12221,12146,3512,8540,53,8,1,0,3,5,1,1,3,1
2,GeometricProgression,11820,11745,3512,8139,53,8,1,0,3,5,1,1,2,1
3,ConditionalCounter,11473,11398,3715,7589,53,9,1,0,3,5,1,1,3,1
4,PythagoreanTriplet,13072,12997,3918,8970,68,10,1,0,3,8,1,1,3,1
5,DynamicFibonacci,12571,12489,3512,8877,53,8,1,1,3,5,1,1,3,1
6,ConstantColumn,8855,8780,2889,5797,53,5,1,0,3,3,1,1,1,1
7,ForwardShiftConstant,11136,11061,3512,7455,53,8,1,0,3,3,1,1,2,1
8,BooleanCube,13848,13769,4012,9663,53,8,1,0,3,7,1,1,1,2
9,LinearCombination,10750,10675,3349,7232,53,6,1,0,3,9,1,1,3,1
10,LargeFibonacci,15332,15257,5831,9317,68,15,1,0,3,5,1,1,3,1
11,MultipleVanishingsSameRatio,11056,10973,2689,8190,53,5,1,0,3,6,1,2,2,1
12,MixedRatioVanishings,12749,12666,2889,9683,53,5,1,0,3,8,1,2,2,1
13,MultiModule,20192,20112,7137,12866,68,14,2,0,3,8,2,2,2,2
14,ManualCancellation,9939,9864,2889,6881,53,5,1,0,3,5,1,1,2,1
15,PrecomputedSelector,9470,9395,2889,6412,53,5,1,0,3,5,1,1,2,1
16,CellLeaf,8943,8870,2955,5821,53,5,1,0,3,3,1,1,1,1
17,CoinScaled,10848,10773,3389,7290,53,6,1,0,4,5,1,1,2,1
18,ThreeStepRecurrence,13172,13097,3512,9491,53,8,1,0,3,5,1,1,3,1
19,Quartic,20033,19954,6258,13587,68,14,1,0,3,9,1,1,1,4
20,LeftPadDynamic,11484,11402,3512,7790,53,8,1,1,3,3,1,1,2,1
21,CubicWithBackShift,17295,17214,5715,11390,68,14,1,0,3,7,1,1,2,2
22,MixedHighRatio,36111,36029,14527,21393,68,38,1,0,3,16,2,2,1,6
23,MultiModuleHighRatio,30703,30621,10463,20049,68,23,2,0,3,14,2,2,2,4
24,SizeThirtyTwoCubic,31334,31255,19152,11994,68,53,1,0,3,7,1,1,1,2
25,LargeForwardShift,13038,12963,3512,9357,53,8,1,0,3,3,1,1,2,1
26,BackAndForwardShift,12906,12831,3512,9225,53,8,1,0,3,7,1,1,3,1
27,DynamicQuadratic,11152,11071,3512,7459,53,8,1,1,3,5,1,1,1,1
28,QuarticWithBackShift,26239,26158,10121,15928,68,26,1,0,3,11,1,1,2,4
29,SingleColumnFirstRowZero,11255,11171,2889,8188,53,5,1,0,3,3,1,1,1,1
30,SingleColumnLastRowZero,11257,11173,2889,8190,53,5,1,0,3,3,1,1,1,1
31,ShiftedColumnFirstRowZero,11257,11173,2889,8190,53,5,1,0,3,3,1,1,1,1
32,TwoColumnsEqualAtFirstRow,11190,11106,2689,8323,53,5,1,0,3,5,1,1,2,1
33,MultipleConstraintsSameModule,16361,16281,2889,13298,53,5,1,0,3,6,1,2,1,1
34,SecondRowConstraint,11463,11379,2889,8396,53,5,1,0,3,5,1,1,1,1
35,CellEquality,11549,11465,2955,8416,53,5,1,0,3,5,1,1,1,1
36,CoinScaled,12575,12491,3389,9008,53,6,1,0,4,7,1,1,1,1
37,MultipleAnchorsSharedColumn,22032,21948,2889,18965,53,5,1,0,3,15,1,3,1,1
38,ConstantSubtraction,11461,11377,2889,8394,53,5,1,0,3,5,1,1,1,1
39,WrapAroundShift,11257,11173,2889,8190,53,5,1,0,3,3,1,1,1,1
40,ProductIsZero,15498,15414,3812,11508,53,8,1,0,3,5,1,1,2,2
41,CellAndCoin,12981,12897,3713,9090,53,7,1,0,4,7,1,1,1,1
42,ThreeColumnLinear,11989,11905,3349,8462,53,6,1,0,3,7,1,1,3,1
43,MultiAnchorMultiColumn,16298,16216,2689,13433,53,5,1,0,3,8,1,2,2,1
44,CubeAtFirstRow,22019,21935,6258,15568,68,14,1,0,3,9,1,1,1,4
45,MultiModule,22255,22177,5438,16630,68,10,2,0,3,6,2,2,2,2
46,DynamicFirstRowZero,12999,12915,3512,9303,53,8,1,1,3,3,1,1,1,1
47,DynamicShifted,13001,12917,3512,9305,53,8,1,1,3,3,1,1,1,1
48,DynamicProductIsZero,18741,18657,5918,12624,68,15,1,1,3,5,1,1,2,2
49,SingleFractionAllOnes,23358,23272,4249,18628,354,9,1,0,4,19,1,3,3,1
50,PartialFilter,30855,30765,7153,23200,371,16,1,0,4,23,2,3,4,3
51,AllZeroFilter,30851,30761,7153,23199,368,16,1,0,4,23,2,3,4,3
52,FilterMasksZeroDenominator,30518,30428,6955,23061,371,16,1,0,4,23,2,3,5,3
53,Packing4Fractions,65978,65888,11893,53293,661,27,1,0,4,78,2,6,8,5
54,MultiModuleBucketing,56277,56187,12761,42723,662,25,2,0,4,42,3,6,7,4
